TaskID	 arg_wts	 train_split	 train_round	 total_timesteps_each_trace	 gradient_steps	 learning_rate	 thre_for_fix_a	                if_single_env	 assigned_gravity	 total_used_num	 arg_generate_train_trace_num	 total_test_trace_num	 log_interval	 arg_total_trial_num	 arg_reward_weight	 arg_test_param	 arg_exp_type	 arg_ppo_train_time	 arg_use_exist_trace	 arg_exist_trace_id	 arg_if_constrain_on_s	 arg_thre_for_s	 arg_s_index	 arg_if_use_user_input	 arg_user_input_action	 exp_id
21	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0.3_0	7
22	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0_0	1
23	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0_0	2
24	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0_0	3
25	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0_0	4
26	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0_0	5
27	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0_0	6
28	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0_0	7
29	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0.1_0	1
30	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0.1_0	2
31	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0.1_0	3
32	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0.1_0	4
33	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0.1_0	5
34	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0.1_0	6
35	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0.1_0	7
36	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0.3_0	1
37	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0.3_0	2
38	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0.3_0	3
39	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0.3_0	4
40	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0.3_0	5
41	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0.3_0	6
42	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.13	2	1	0.3_0	7
43	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0_0	1
44	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0_0	2
45	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0_0	3
46	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0_0	4
47	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0_0	5
48	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0_0	6
49	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0_0	7
50	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0.1_0	1
51	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0.1_0	2
52	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0.1_0	3
53	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0.1_0	4
54	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0.1_0	5
55	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0.1_0	6
56	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0.1_0	7
57	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0.3_0	1
58	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0.3_0	2
59	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0.3_0	3
60	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0.3_0	4
61	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0.3_0	5
62	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0.3_0	6
63	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.08	2	1	0.3_0	7
